"time","metric","scenario","group","load_zone","tags","count","min","mean","max","last"
"2024-04-25T23:51:03+00:00","vus","","","","{}",3,1.0,1.0,1.0,1.0
"2024-04-25T23:51:06+00:00","vus","","","","{}",3,1.0,1.0,1.0,1.0
"2024-04-25T23:51:09+00:00","vus","","","","{}",3,1.0,1.0,1.0,1.0
"2024-04-25T23:51:12+00:00","vus","","","","{}",3,1.0,1.0,1.0,1.0
"2024-04-25T23:51:15+00:00","vus","","","","{}",3,1.0,1.0,1.0,1.0
"2024-04-25T23:51:18+00:00","vus","","","","{}",3,1.0,1.0,1.0,1.0
"2024-04-25T23:51:21+00:00","vus","","","","{}",3,1.0,1.0,1.0,1.0
"2024-04-25T23:51:24+00:00","vus","","","","{}",3,1.0,1.0,1.0,1.0
"2024-04-25T23:51:27+00:00","vus","","","","{}",3,1.0,1.0,1.0,1.0
"2024-04-25T23:51:30+00:00","vus","","","","{}",3,1.0,1.0,1.0,1.0
"2024-04-25T23:51:33+00:00","vus","","","","{}",3,2.0,2.0,2.0,2.0
"2024-04-25T23:51:36+00:00","vus","","","","{}",3,2.0,2.0,2.0,2.0
"2024-04-25T23:51:39+00:00","vus","","","","{}",3,2.0,2.0,2.0,2.0
"2024-04-25T23:51:42+00:00","vus","","","","{}",3,2.0,2.0,2.0,2.0
"2024-04-25T23:51:45+00:00","vus","","","","{}",3,2.0,2.0,2.0,2.0
"2024-04-25T23:51:48+00:00","vus","","","","{}",3,2.0,2.0,2.0,2.0
"2024-04-25T23:51:51+00:00","vus","","","","{}",3,2.0,2.0,2.0,2.0
"2024-04-25T23:51:54+00:00","vus","","","","{}",3,2.0,2.0,2.0,2.0
"2024-04-25T23:51:57+00:00","vus","","","","{}",3,2.0,2.0,2.0,2.0
"2024-04-25T23:52:00+00:00","vus","","","","{}",3,2.0,2.0,2.0,2.0
"2024-04-25T23:52:03+00:00","vus","","","","{}",3,3.0,3.0,3.0,3.0
"2024-04-25T23:52:06+00:00","vus","","","","{}",3,3.0,3.0,3.0,3.0
"2024-04-25T23:52:09+00:00","vus","","","","{}",3,3.0,3.0,3.0,3.0
"2024-04-25T23:52:12+00:00","vus","","","","{}",3,3.0,3.0,3.0,3.0
"2024-04-25T23:52:15+00:00","vus","","","","{}",3,3.0,3.0,3.0,3.0
"2024-04-25T23:52:18+00:00","vus","","","","{}",3,3.0,3.0,3.0,3.0
"2024-04-25T23:52:21+00:00","vus","","","","{}",3,3.0,3.0,3.0,3.0
"2024-04-25T23:52:24+00:00","vus","","","","{}",3,3.0,3.0,3.0,3.0
"2024-04-25T23:52:27+00:00","vus","","","","{}",3,3.0,3.0,3.0,3.0
"2024-04-25T23:52:30+00:00","vus","","","","{}",3,3.0,3.0,3.0,3.0
"2024-04-25T23:52:33+00:00","vus","","","","{}",3,4.0,4.0,4.0,4.0
"2024-04-25T23:52:36+00:00","vus","","","","{}",3,4.0,4.0,4.0,4.0
"2024-04-25T23:52:39+00:00","vus","","","","{}",3,4.0,4.0,4.0,4.0
"2024-04-25T23:52:42+00:00","vus","","","","{}",3,4.0,4.0,4.0,4.0
"2024-04-25T23:52:45+00:00","vus","","","","{}",3,4.0,4.0,4.0,4.0
"2024-04-25T23:52:48+00:00","vus","","","","{}",3,4.0,4.0,4.0,4.0
"2024-04-25T23:52:51+00:00","vus","","","","{}",3,4.0,4.0,4.0,4.0
"2024-04-25T23:52:54+00:00","vus","","","","{}",3,4.0,4.0,4.0,4.0
"2024-04-25T23:52:57+00:00","vus","","","","{}",3,4.0,4.0,4.0,4.0
"2024-04-25T23:53:00+00:00","vus","","","","{}",3,4.0,4.0,4.0,4.0
"2024-04-25T23:53:03+00:00","vus","","","","{}",3,5.0,5.0,5.0,5.0
"2024-04-25T23:53:06+00:00","vus","","","","{}",3,6.0,5.33333333333333,5.0,6.0
"2024-04-25T23:53:09+00:00","vus","","","","{}",3,6.0,6.0,6.0,6.0
"2024-04-25T23:53:12+00:00","vus","","","","{}",3,7.0,6.66666666666667,6.0,7.0
"2024-04-25T23:53:15+00:00","vus","","","","{}",3,7.0,7.0,7.0,7.0
"2024-04-25T23:53:18+00:00","vus","","","","{}",3,8.0,7.66666666666667,7.0,8.0
"2024-04-25T23:53:21+00:00","vus","","","","{}",3,8.0,8.0,8.0,8.0
"2024-04-25T23:53:24+00:00","vus","","","","{}",3,9.0,9.0,9.0,9.0
"2024-04-25T23:53:27+00:00","vus","","","","{}",3,10.0,9.33333333333333,9.0,10.0
"2024-04-25T23:53:30+00:00","vus","","","","{}",3,10.0,10.0,10.0,10.0
"2024-04-25T23:53:33+00:00","vus","","","","{}",3,11.0,10.3333333333333,10.0,11.0
"2024-04-25T23:53:36+00:00","vus","","","","{}",3,11.0,11.0,11.0,11.0
"2024-04-25T23:53:39+00:00","vus","","","","{}",3,12.0,11.6666666666667,11.0,12.0
"2024-04-25T23:53:42+00:00","vus","","","","{}",3,12.0,12.0,12.0,12.0
"2024-04-25T23:53:45+00:00","vus","","","","{}",3,13.0,13.0,13.0,13.0
"2024-04-25T23:53:48+00:00","vus","","","","{}",3,13.0,13.0,13.0,13.0
"2024-04-25T23:53:51+00:00","vus","","","","{}",3,14.0,14.0,14.0,14.0
"2024-04-25T23:53:54+00:00","vus","","","","{}",3,15.0,14.3333333333333,14.0,15.0
"2024-04-25T23:53:57+00:00","vus","","","","{}",3,15.0,15.0,15.0,15.0
"2024-04-25T23:54:00+00:00","vus","","","","{}",3,16.0,15.6666666666667,15.0,16.0
"2024-04-25T23:54:03+00:00","vus","","","","{}",3,16.0,16.0,16.0,16.0
